rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,fit_seconds,warning_count,capacity_proxy_name,learned_capacity_primary,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fitted_kernel_gamma,empirical_capacity_index
0.0,1,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,medium,0.5,2.35133550001774,0,boosting_total_leaves,13200.0,26100.0,,,,,,13200.0,300.0,,300.0,1.0,,1.0
0.0,1,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,weak,1.0,0.24343469995073974,0,mlp_parameter_count,113.0,113.0,,,,,,,,113.0,61.0,1.0,,0.25
0.0,1,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,medium,0.5,0.11259219999192283,0,mlp_parameter_count,4609.0,4609.0,,,,,,,,4609.0,15.0,1.0,,0.5833333333333334
0.0,1,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,strong,0.0,0.2990210999851115,0,mlp_parameter_count,25601.0,25601.0,,,,,,,,25601.0,15.0,1.0,,0.9166666666666666
0.9,0,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,strong,0.0,0.009436599968466908,0,effective_degrees_of_freedom,3.3436568441048307,6.0,3.3436568441048307,,,,,,,,7.0,1.0,,0.3333333333333333
0.9,0,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,medium,0.5,0.008031499979551882,0,effective_degrees_of_freedom,4.351671842161567,6.0,4.351671842161567,,,,,,,,11.0,1.0,,0.5
0.9,0,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,0.009820899984333664,0,effective_degrees_of_freedom,4.806403482468762,6.0,4.806403482468762,,,,,,,,13.0,1.0,,0.8333333333333334
0.9,0,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,0.04827680002199486,0,kernel_effective_rank,2.2898419542254413,696.0,,2.2898419542254413,0.07733333333333334,,,,,,,1.0,0.05,0.3333333333333333
0.9,0,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,weak,1.0,0.05248549999669194,0,kernel_effective_rank,9.91055343887758,384.0,,9.91055343887758,0.042666666666666665,,,,,,,1.0,0.2,0.6666666666666666
0.9,0,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,strong,0.0,0.1731212000013329,0,kernel_effective_rank,126.93131696593433,3516.0,,126.93131696593433,0.39066666666666666,,,,,,,1.0,1.0,1.0
