fit_id,fidelity_min,fidelity_drop_from_20,fidelity_recovery,sat,trajectory_class_recomputed
rho0p7_seed16_width512_cosine,0.97925,0.0022500000000000853,0.0025000000000000577,inf,No-acquisition / no-distortion
rho0p7_seed16_width64_constant,0.98425,0.0017500000000000293,0.00275000000000003,inf,No-acquisition / no-distortion
rho0p7_seed16_width64_cosine,0.98525,0.0007500000000000284,0.0,inf,No-acquisition / no-distortion
rho0p7_seed16_width8_constant,0.988,0.0022499999999999742,0.0,inf,No-acquisition / no-distortion
rho0p7_seed16_width8_cosine,0.99,0.0,0.000500000000000056,inf,No-acquisition / no-distortion
rho0p7_seed17_width512_constant,0.96825,0.010249999999999981,0.017249999999999988,inf,No-acquisition / no-distortion
rho0p7_seed17_width512_cosine,0.978,0.0012499999999999734,0.012249999999999983,inf,No-acquisition / no-distortion
rho0p7_seed17_width64_constant,0.986,0.004750000000000032,0.00275000000000003,inf,No-acquisition / no-distortion
rho0p7_seed17_width64_cosine,0.98575,0.0044999999999999485,0.007000000000000006,inf,No-acquisition / no-distortion
rho0p7_seed17_width8_constant,0.99225,0.003250000000000086,0.00275000000000003,inf,No-acquisition / no-distortion
rho0p7_seed17_width8_cosine,0.99375,0.0017500000000000293,0.0024999999999999467,inf,No-acquisition / no-distortion
rho0p7_seed18_width512_constant,0.96825,0.014499999999999957,0.0,inf,No-acquisition / no-distortion
rho0p7_seed18_width512_cosine,0.97725,0.005250000000000088,0.0025000000000000577,inf,No-acquisition / no-distortion
rho0p7_seed18_width64_constant,0.9805,0.00649999999999995,0.0,inf,No-acquisition / no-distortion
rho0p7_seed18_width64_cosine,0.98425,0.0030000000000000027,0.0,inf,No-acquisition / no-distortion
rho0p7_seed18_width8_constant,0.9905,0.0,0.0030000000000000027,inf,No-acquisition / no-distortion
rho0p7_seed18_width8_cosine,0.9905,0.0,0.0022499999999999742,inf,No-acquisition / no-distortion
rho0p7_seed19_width512_constant,0.96175,0.018000000000000016,0.011750000000000038,inf,No-acquisition / no-distortion
rho0p7_seed19_width512_cosine,0.974,0.004750000000000032,0.006500000000000061,inf,No-acquisition / no-distortion
rho0p7_seed19_width64_constant,0.9785,0.0,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0p7_seed19_width64_cosine,0.97825,0.0,0.00275000000000003,inf,No-acquisition / no-distortion
rho0p7_seed19_width8_constant,0.978,0.005249999999999977,0.0,inf,No-acquisition / no-distortion
rho0p7_seed19_width8_cosine,0.98075,0.00275000000000003,0.0022499999999999742,inf,No-acquisition / no-distortion
rho0p9_seed00_width512_constant,0.9555,0.01200000000000001,0.0030000000000000027,40.0,No-acquisition / no-distortion
rho0p9_seed00_width512_cosine,0.9575,0.010000000000000009,0.008499999999999952,40.0,No-acquisition / no-distortion
rho0p9_seed00_width64_constant,0.962,0.009750000000000036,0.0002500000000000835,40.0,No-acquisition / no-distortion
rho0p9_seed00_width64_cosine,0.964,0.007500000000000062,0.0007500000000000284,40.0,No-acquisition / no-distortion
rho0p9_seed00_width8_constant,0.97525,0.0017500000000000293,0.006750000000000034,40.0,No-acquisition / no-distortion
rho0p9_seed00_width8_cosine,0.97625,0.0007500000000000284,0.0040000000000000036,40.0,No-acquisition / no-distortion
rho0p9_seed01_width512_constant,0.91425,0.030000000000000027,0.011499999999999955,40.0,No-acquisition / no-distortion
rho0p9_seed01_width512_cosine,0.927,0.01749999999999996,0.003249999999999975,40.0,No-acquisition / no-distortion
rho0p9_seed01_width64_constant,0.9275,0.03649999999999998,0.0,40.0,No-acquisition / no-distortion
rho0p9_seed01_width64_cosine,0.93625,0.028249999999999997,0.0,40.0,No-acquisition / no-distortion
rho0p9_seed01_width8_constant,0.94925,0.020999999999999908,0.0,40.0,No-acquisition / no-distortion
rho0p9_seed01_width8_cosine,0.9615,0.008749999999999925,0.0,40.0,No-acquisition / no-distortion
rho0p9_seed02_width512_constant,0.95375,0.0022499999999999742,0.0,40.0,No-acquisition / no-distortion
rho0p9_seed02_width512_cosine,0.957,0.0,0.004750000000000032,40.0,No-acquisition / no-distortion
rho0p9_seed02_width64_constant,0.9585,0.00824999999999998,0.0,40.0,No-acquisition / no-distortion
rho0p9_seed02_width64_cosine,0.961,0.005750000000000033,0.000500000000000056,40.0,No-acquisition / no-distortion
