fit_id,rho_train,dataset_seed,width,schedule,checkpoint,d3,fidelity,iid_accuracy,learning_rate,train_loss
rho0_seed13_width512_constant,0.0,13,512,constant,80,0.027333333333333334,0.9775,0.902,0.01,0.18641030706064804
rho0_seed13_width512_constant,0.0,13,512,constant,100,0.04033333333333333,0.97675,0.9,0.01,0.18779845392204972
rho0_seed13_width512_constant,0.0,13,512,constant,120,0.03766666666666667,0.97475,0.9,0.01,0.1767442404437961
rho0_seed13_width512_constant,0.0,13,512,constant,140,0.06266666666666666,0.9755,0.893,0.01,0.18973707116939714
rho0_seed13_width512_constant,0.0,13,512,constant,160,0.048666666666666664,0.9595,0.8943333333333333,0.01,0.17500705711746115
rho0_seed13_width512_constant,0.0,13,512,constant,180,0.042,0.9645,0.8953333333333333,0.01,0.17264111213054661
rho0_seed13_width512_constant,0.0,13,512,constant,200,0.041,0.9545,0.8973333333333333,0.01,0.17364665032834078
rho0_seed13_width512_cosine,0.0,13,512,cosine,20,0.031,0.983,0.8983333333333333,0.009799079281818376,0.20579659009317303
rho0_seed13_width512_cosine,0.0,13,512,cosine,40,0.030666666666666665,0.98275,0.9026666666666666,0.009173690746364798,0.19431367410903794
rho0_seed13_width512_cosine,0.0,13,512,cosine,60,0.03133333333333333,0.97975,0.8996666666666666,0.008185102697299853,0.19062182332604433
rho0_seed13_width512_cosine,0.0,13,512,cosine,80,0.027333333333333334,0.98,0.899,0.006931051913076572,0.18557310542974131
rho0_seed13_width512_cosine,0.0,13,512,cosine,100,0.03866666666666667,0.98425,0.901,0.005535520151093711,0.1867194924976121
rho0_seed13_width512_cosine,0.0,13,512,cosine,120,0.04,0.97425,0.9006666666666666,0.004136476688619072,0.18246291199725057
rho0_seed13_width512_cosine,0.0,13,512,cosine,140,0.049666666666666665,0.9765,0.8976666666666666,0.0028722379872641217,0.1848594178173474
rho0_seed13_width512_cosine,0.0,13,512,cosine,160,0.041666666666666664,0.97825,0.8986666666666666,0.0018677930330710667,0.17897693473229676
rho0_seed13_width512_cosine,0.0,13,512,cosine,180,0.035,0.975,0.9016666666666666,0.0012224462977549774,0.17782704252964232
rho0_seed13_width512_cosine,0.0,13,512,cosine,200,0.03933333333333333,0.97675,0.901,0.001,0.17782314679918787
rho0_seed13_width64_constant,0.0,13,64,constant,20,0.019333333333333334,0.98675,0.899,0.01,0.20350225811930256
rho0_seed13_width64_constant,0.0,13,64,constant,40,0.017,0.99075,0.9043333333333333,0.01,0.19600703394199967
rho0_seed13_width64_constant,0.0,13,64,constant,60,0.015666666666666666,0.98275,0.9033333333333333,0.01,0.19563382724033349
rho0_seed13_width64_constant,0.0,13,64,constant,80,0.016666666666666666,0.99025,0.902,0.01,0.1938143771956009
rho0_seed13_width64_constant,0.0,13,64,constant,100,0.02033333333333333,0.98725,0.903,0.01,0.1924502115766439
rho0_seed13_width64_constant,0.0,13,64,constant,120,0.019666666666666666,0.9795,0.9036666666666666,0.01,0.19115956619270133
rho0_seed13_width64_constant,0.0,13,64,constant,140,0.02666666666666667,0.98725,0.8986666666666666,0.01,0.19159314767825936
rho0_seed13_width64_constant,0.0,13,64,constant,160,0.025333333333333333,0.985,0.9,0.01,0.18916974131953626
rho0_seed13_width64_constant,0.0,13,64,constant,180,0.024666666666666667,0.9765,0.901,0.01,0.1878185867637812
rho0_seed13_width64_constant,0.0,13,64,constant,200,0.024666666666666667,0.983,0.898,0.01,0.18917352044594452
rho0_seed13_width64_cosine,0.0,13,64,cosine,20,0.019666666666666666,0.98675,0.8986666666666666,0.009799079281818376,0.20335521138454804
rho0_seed13_width64_cosine,0.0,13,64,cosine,40,0.017,0.99125,0.904,0.009173690746364798,0.19608016161622155
rho0_seed13_width64_cosine,0.0,13,64,cosine,60,0.015,0.98425,0.905,0.008185102697299853,0.19539963764646703
rho0_seed13_width64_cosine,0.0,13,64,cosine,80,0.016,0.991,0.9023333333333333,0.006931051913076572,0.19409894288792479
rho0_seed13_width64_cosine,0.0,13,64,cosine,100,0.017666666666666667,0.9885,0.903,0.005535520151093711,0.19302181075165928
rho0_seed13_width64_cosine,0.0,13,64,cosine,120,0.017666666666666667,0.98275,0.9026666666666666,0.004136476688619072,0.192386669703991
rho0_seed13_width64_cosine,0.0,13,64,cosine,140,0.019,0.985,0.9026666666666666,0.0028722379872641217,0.19193103620225666
rho0_seed13_width64_cosine,0.0,13,64,cosine,160,0.018666666666666668,0.985,0.9033333333333333,0.0018677930330710667,0.19168303264319542
rho0_seed13_width64_cosine,0.0,13,64,cosine,180,0.019333333333333334,0.983,0.9036666666666666,0.0012224462977549774,0.1914450373844592
