rho_train,seed,model,feature_condition,validation_accuracy,iid_accuracy,average_ood_accuracy,worst_environment_accuracy,ood_gap,severe_shift_accuracy,degradation_slope,spurious_reliance_score
0.7,1,random_forest,stable_only,0.8915,0.895,0.9029333333333334,0.895,-0.007933333333333348,0.904,0.0025448717948720802,0.0
0.7,1,gradient_boosting,stable_only,0.8875,0.8893333333333333,0.8974,0.889,-0.008066666666666666,0.8998333333333333,0.0040512820512820305,0.0
0.7,1,mlp,stable_only,0.899,0.905,0.9101333333333332,0.905,-0.005133333333333212,0.9105,0.0013141025641028453,0.0
0.7,2,logistic_regression,all_features,0.953,0.9543333333333334,0.7926666666666666,0.691,0.16166666666666674,0.7221666666666666,-0.16282051282051252,0.11949999999999994
0.7,2,rbf_svm,all_features,0.9515,0.9556666666666667,0.7722,0.6533333333333333,0.18346666666666667,0.69,-0.1861666666666665,0.131
0.7,2,random_forest,all_features,0.947,0.9466666666666667,0.725,0.5586666666666666,0.22166666666666668,0.6151666666666666,-0.23424358974358947,0.16949999999999998
0.7,2,gradient_boosting,all_features,0.9425,0.946,0.7529333333333332,0.6216666666666667,0.19306666666666672,0.6631666666666667,-0.20012820512820476,0.14600000000000002
0.7,2,mlp,all_features,0.9525,0.9553333333333334,0.7792,0.668,0.17613333333333336,0.6996666666666667,-0.17889102564102513,0.12450000000000006
0.7,2,logistic_regression,stable_only,0.9075,0.9043333333333333,0.9111333333333332,0.9033333333333333,-0.006799999999999917,0.9145,0.005576923076923436,0.0
0.7,2,rbf_svm,stable_only,0.9085,0.9063333333333333,0.9104666666666666,0.9046666666666666,-0.004133333333333322,0.9145,0.005160256410256711,0.0
0.7,2,random_forest,stable_only,0.8965,0.895,0.9046,0.895,-0.009599999999999942,0.9091666666666667,0.007326923076923597,0.0
0.7,2,gradient_boosting,stable_only,0.894,0.894,0.8999333333333333,0.8926666666666667,-0.005933333333333235,0.9025,0.004641025641025782,0.0
0.7,2,mlp,stable_only,0.905,0.905,0.9101333333333332,0.905,-0.005133333333333212,0.9125000000000001,0.004833333333333551,0.0
0.7,3,logistic_regression,all_features,0.9595,0.9503333333333334,0.7884666666666666,0.6793333333333333,0.16186666666666671,0.7105,-0.1651666666666662,0.11850000000000005
0.7,3,rbf_svm,all_features,0.9565,0.95,0.7748666666666667,0.6533333333333333,0.17513333333333325,0.6873333333333334,-0.1818717948717943,0.132
0.7,3,random_forest,all_features,0.9565,0.945,0.7343333333333334,0.5823333333333334,0.21066666666666656,0.6308333333333334,-0.21735897435897397,0.15000000000000002
0.7,3,gradient_boosting,all_features,0.9485,0.939,0.7484666666666667,0.6156666666666667,0.19053333333333322,0.6521666666666667,-0.1977564102564098,0.139
0.7,3,mlp,all_features,0.9565,0.9483333333333334,0.7446666666666666,0.601,0.20366666666666677,0.642,-0.21162820512820488,0.139
0.7,3,logistic_regression,stable_only,0.9095,0.9096666666666666,0.9113333333333333,0.905,-0.0016666666666667052,0.9156666666666666,0.005185897435897731,0.0
0.7,3,rbf_svm,stable_only,0.9095,0.909,0.9107333333333333,0.9023333333333333,-0.0017333333333332535,0.9156666666666666,0.006198717948718415,0.0
0.7,3,random_forest,stable_only,0.91,0.9016666666666666,0.9038666666666666,0.894,-0.0021999999999999797,0.9085,0.006423076923077341,0.0
0.7,3,gradient_boosting,stable_only,0.906,0.9003333333333333,0.8990666666666666,0.8926666666666667,0.0012666666666667492,0.9023333333333333,0.003602564102564335,0.0
0.7,3,mlp,stable_only,0.906,0.9096666666666666,0.9107333333333333,0.9036666666666666,-0.0010666666666666602,0.9156666666666666,0.005128205128205585,0.0
0.7,4,logistic_regression,all_features,0.9605,0.953,0.7946666666666667,0.679,0.15833333333333321,0.7113333333333334,-0.17258333333333276,0.12350000000000005
0.7,4,rbf_svm,all_features,0.9585,0.9516666666666667,0.7744000000000001,0.6486666666666666,0.17726666666666657,0.6819999999999999,-0.19258974358974318,0.11950000000000005
0.7,4,random_forest,all_features,0.95,0.9433333333333334,0.7153333333333334,0.5433333333333333,0.22799999999999998,0.598,-0.2467499999999996,0.16549999999999998
0.7,4,gradient_boosting,all_features,0.9525,0.945,0.7531333333333334,0.6126666666666667,0.19186666666666652,0.6566666666666667,-0.20630128205128148,0.15200000000000002
0.7,4,mlp,all_features,0.96,0.9533333333333334,0.7856,0.662,0.1677333333333334,0.698,-0.18252564102564064,0.11549999999999994
0.7,4,logistic_regression,stable_only,0.919,0.9196666666666666,0.9157333333333334,0.9096666666666666,0.003933333333333233,0.913,-0.005410256410255935,0.0
0.7,4,rbf_svm,stable_only,0.9195,0.9173333333333333,0.9148666666666667,0.9083333333333333,0.002466666666666617,0.9136666666666666,-0.0038974358974355485,0.0
