seed,model,feature_condition,rho_test,accuracy,balanced_accuracy,log_loss,rho_train,rho_val
2,rbf_svm,all_features,-0.3,0.841,0.8410654570473128,0.3655564672604359,0.5,0.5
2,rbf_svm,all_features,-0.6,0.83,0.8300000000000001,0.3949069484016153,0.5,0.5
2,rbf_svm,all_features,-0.9,0.803,0.8031415181055772,0.4477889889018764,0.5,0.5
2,random_forest,all_features,0.5,0.916,0.9161325546323698,0.2309182765327269,0.5,0.5
2,random_forest,all_features,0.3,0.91,0.9101388849987395,0.22767651256339513,0.5,0.5
2,random_forest,all_features,0.0,0.8683333333333333,0.8679452698087432,0.3168057222901955,0.5,0.5
2,random_forest,all_features,-0.3,0.8396666666666667,0.8397374357989729,0.3680584111179839,0.5,0.5
2,random_forest,all_features,-0.6,0.8196666666666667,0.8196666666666668,0.40111560008072916,0.5,0.5
2,random_forest,all_features,-0.9,0.7823333333333333,0.7826037290359515,0.4711686459748591,0.5,0.5
2,gradient_boosting,all_features,0.5,0.913,0.9130879381971317,0.2245926214693649,0.5,0.5
2,gradient_boosting,all_features,0.3,0.9073333333333333,0.9074353423842658,0.2508097006009531,0.5,0.5
2,gradient_boosting,all_features,0.0,0.874,0.8734791239754098,0.3522246404046251,0.5,0.5
2,gradient_boosting,all_features,-0.3,0.841,0.841081457303317,0.4433023994848468,0.5,0.5
2,gradient_boosting,all_features,-0.6,0.8316666666666667,0.8316666666666667,0.4777959761395786,0.5,0.5
2,gradient_boosting,all_features,-0.9,0.805,0.8051479151072716,0.5602754666166747,0.5,0.5
2,mlp,all_features,0.5,0.9216666666666666,0.9216331379467335,0.17900487958073608,0.5,0.5
2,mlp,all_features,0.3,0.916,0.9160808101824991,0.19472106963764227,0.5,0.5
2,mlp,all_features,0.0,0.8833333333333333,0.883089993169399,0.26042627377124544,0.5,0.5
2,mlp,all_features,-0.3,0.852,0.8520376326021217,0.32516572507504726,0.5,0.5
2,mlp,all_features,-0.6,0.842,0.8420000000000001,0.34898313122223923,0.5,0.5
2,mlp,all_features,-0.9,0.8156666666666667,0.8157719516900139,0.3976033191168251,0.5,0.5
2,logistic_regression,stable_only,0.5,0.909,0.9090367488049169,0.20424255937914756,0.5,0.5
2,logistic_regression,stable_only,0.3,0.909,0.9090245239457584,0.19519029788468087,0.5,0.5
