rho_train,replicate,model,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.7,2,random_forest,0.941,0.8975,0.04349999999999998,0.42439024390243874
0.7,2,gradient_boosting,0.94,0.8965,0.04349999999999998,0.42028985507246347
0.7,2,mlp,0.9475,0.897,0.05049999999999999,0.49029126213592233
0.7,3,logistic_regression,0.952,0.9085,0.04349999999999998,0.47540983606557347
0.7,3,rbf_svm,0.95,0.9055,0.044499999999999984,0.4708994708994706
0.7,3,random_forest,0.946,0.897,0.04899999999999993,0.4757281553398053
0.7,3,gradient_boosting,0.9445,0.894,0.05049999999999999,0.4764150943396226
0.7,3,mlp,0.9495,0.906,0.04349999999999998,0.4627659574468085
0.7,4,logistic_regression,0.9565,0.9195,0.03700000000000003,0.4596273291925469
0.7,4,rbf_svm,0.9515,0.92,0.03149999999999997,0.3937499999999999
0.7,4,random_forest,0.9485,0.9145,0.03400000000000003,0.39766081871345055
0.7,4,gradient_boosting,0.949,0.916,0.03299999999999992,0.39285714285714207
0.7,4,mlp,0.9545,0.9225,0.03200000000000003,0.4129032258064519
0.7,5,logistic_regression,0.952,0.9085,0.04349999999999998,0.47540983606557347
0.7,5,rbf_svm,0.9515,0.911,0.04049999999999998,0.45505617977528084
0.7,5,random_forest,0.935,0.8935,0.04150000000000009,0.38967136150234816
0.7,5,gradient_boosting,0.942,0.892,0.04999999999999993,0.4629629629629624
0.7,5,mlp,0.9525,0.9125,0.040000000000000036,0.4571428571428574
0.7,6,logistic_regression,0.9495,0.9095,0.040000000000000036,0.44198895027624335
0.7,6,rbf_svm,0.948,0.9085,0.03949999999999998,0.4316939890710379
0.7,6,random_forest,0.9435,0.904,0.03949999999999998,0.4114583333333332
0.7,6,gradient_boosting,0.9445,0.9,0.044499999999999984,0.44499999999999995
0.7,6,mlp,0.9455,0.91,0.035499999999999976,0.3944444444444443
0.7,7,logistic_regression,0.954,0.909,0.04499999999999993,0.4945054945054939
0.7,7,rbf_svm,0.955,0.9095,0.045499999999999985,0.5027624309392262
0.7,7,random_forest,0.9415,0.901,0.04049999999999998,0.409090909090909
0.7,7,gradient_boosting,0.943,0.8995,0.04349999999999998,0.4328358208955221
0.7,7,mlp,0.9495,0.9055,0.04400000000000004,0.46560846560846586
0.7,8,logistic_regression,0.948,0.9095,0.03849999999999998,0.4254143646408836
0.7,8,rbf_svm,0.9465,0.9055,0.041000000000000036,0.4338624338624341
0.7,8,random_forest,0.934,0.905,0.029000000000000026,0.3052631578947372
0.7,8,gradient_boosting,0.9325,0.9005,0.03200000000000003,0.3216080402010052
0.7,8,mlp,0.9475,0.9085,0.039000000000000035,0.42622950819672156
0.7,9,logistic_regression,0.9555,0.919,0.03649999999999998,0.45061728395061723
0.7,9,rbf_svm,0.9505,0.9155,0.03500000000000003,0.41420118343195295
