rho_train,replicate,model,d2_original_accuracy,d2_conditional_permuted_accuracy,d2_conditional_permutation_drop,d4_n_consistent,d4_n_contradictory,d4_accuracy_consistent,d4_accuracy_contradictory,d4_accuracy_gap,d6_measure,d6_value,d6_split_count,d6_note
0.5,1,gradient_boosting,0.9115,0.8905,0.02100000000000002,1446,554,0.9446749654218534,0.8249097472924187,0.11976521812943464,private_histgb_gain_fraction,0.1542192872690961,1101.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,1,mlp,0.921,0.874,0.04700000000000004,1446,554,0.9688796680497925,0.796028880866426,0.17285078718336655,normalized_first_layer_absolute_weight,0.18468097007697856,,First-layer weight audit; not a causal or cross-family importance.
0.5,2,logistic_regression,0.9245,0.875,0.04949999999999999,1438,562,0.9638386648122392,0.8238434163701067,0.1399952484421325,normalized_absolute_standardized_coefficient,0.12163193026204867,,Within-model normalized coefficient; not cross-family comparable.
0.5,2,rbf_svm,0.923,0.8745,0.04849999999999999,1438,562,0.9652294853963839,0.8149466192170819,0.15028286617930198,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,2,random_forest,0.9125,0.86,0.05249999999999999,1438,562,0.9554937413073713,0.802491103202847,0.1530026381045243,impurity_importance_fraction,0.2218943514878896,14365.0,Native impurity importance and split count; audit only.
0.5,2,gradient_boosting,0.9185,0.874,0.044499999999999984,1438,562,0.9513212795549374,0.8345195729537367,0.1168017066012007,private_histgb_gain_fraction,0.20080730514838838,1026.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,2,mlp,0.9115,0.8475,0.06399999999999995,1438,562,0.9763560500695411,0.7455516014234875,0.23080444864605354,normalized_first_layer_absolute_weight,0.19093491878708704,,First-layer weight audit; not a causal or cross-family importance.
0.5,3,logistic_regression,0.9295,0.8925,0.03700000000000003,1476,524,0.9579945799457995,0.8492366412213741,0.10875793872442541,normalized_absolute_standardized_coefficient,0.10918237608675148,,Within-model normalized coefficient; not cross-family comparable.
0.5,3,rbf_svm,0.9255,0.8785,0.04700000000000004,1476,524,0.9600271002710027,0.8282442748091603,0.1317828254618424,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,3,random_forest,0.9155,0.876,0.03949999999999998,1476,524,0.9539295392953929,0.8072519083969466,0.14667763089844632,impurity_importance_fraction,0.2146097815676205,14167.0,Native impurity importance and split count; audit only.
0.5,3,gradient_boosting,0.9175,0.869,0.04849999999999999,1476,524,0.9478319783197832,0.8320610687022901,0.11577090961749303,private_histgb_gain_fraction,0.1811485313341321,1035.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,3,mlp,0.926,0.8885,0.03750000000000009,1476,524,0.9586720867208672,0.833969465648855,0.12470262107201224,normalized_first_layer_absolute_weight,0.1852737241994028,,First-layer weight audit; not a causal or cross-family importance.
0.5,4,logistic_regression,0.934,0.893,0.041000000000000036,1410,590,0.9638297872340426,0.8627118644067797,0.10111792282726284,normalized_absolute_standardized_coefficient,0.11386780442197451,,Within-model normalized coefficient; not cross-family comparable.
0.5,4,rbf_svm,0.93,0.889,0.041000000000000036,1410,590,0.9695035460992908,0.8355932203389831,0.1339103257603077,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,4,random_forest,0.928,0.891,0.03700000000000003,1410,590,0.9687943262411347,0.8305084745762712,0.1382858516648635,impurity_importance_fraction,0.23046903870709162,14215.0,Native impurity importance and split count; audit only.
0.5,4,gradient_boosting,0.924,0.891,0.03300000000000003,1410,590,0.9609929078014184,0.8355932203389831,0.12539968746243535,private_histgb_gain_fraction,0.2436810237219345,963.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,4,mlp,0.931,0.8795,0.0515000000000001,1410,590,0.9723404255319149,0.8322033898305085,0.14013703570140645,normalized_first_layer_absolute_weight,0.1911889194940125,,First-layer weight audit; not a causal or cross-family importance.
0.5,5,logistic_regression,0.925,0.8975,0.02750000000000008,1435,565,0.9547038327526133,0.8495575221238938,0.10514631062871949,normalized_absolute_standardized_coefficient,0.10516118848005067,,Within-model normalized coefficient; not cross-family comparable.
0.5,5,rbf_svm,0.9205,0.888,0.03249999999999997,1435,565,0.954006968641115,0.8353982300884956,0.11860873855261944,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,5,random_forest,0.909,0.88,0.029000000000000026,1435,565,0.9484320557491289,0.8088495575221238,0.13958249822700508,impurity_importance_fraction,0.202305128725526,14689.0,Native impurity importance and split count; audit only.
0.5,5,gradient_boosting,0.906,0.8725,0.033499999999999974,1435,565,0.9386759581881533,0.8230088495575221,0.11566710863063123,private_histgb_gain_fraction,0.1523453163076958,983.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,5,mlp,0.925,0.902,0.02300000000000002,1435,565,0.9547038327526133,0.8495575221238938,0.10514631062871949,normalized_first_layer_absolute_weight,0.191528734513908,,First-layer weight audit; not a causal or cross-family importance.
0.5,6,logistic_regression,0.9305,0.8975,0.03300000000000003,1442,558,0.9667128987517337,0.8369175627240143,0.12979533602771942,normalized_absolute_standardized_coefficient,0.11645044513757544,,Within-model normalized coefficient; not cross-family comparable.
0.5,6,rbf_svm,0.928,0.893,0.03500000000000003,1442,558,0.9667128987517337,0.8279569892473119,0.13875590950442185,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,6,random_forest,0.923,0.8825,0.04050000000000009,1442,558,0.9639389736477115,0.8172043010752689,0.14673467257244266,impurity_importance_fraction,0.20452561556895082,14438.0,Native impurity importance and split count; audit only.
0.5,6,gradient_boosting,0.9185,0.879,0.03949999999999998,1442,558,0.955617198335645,0.8225806451612904,0.1330365531743546,private_histgb_gain_fraction,0.16829306952019654,973.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,6,mlp,0.9275,0.8935,0.03400000000000003,1442,558,0.9625520110957004,0.8369175627240143,0.12563444837168614,normalized_first_layer_absolute_weight,0.18061474363280225,,First-layer weight audit; not a causal or cross-family importance.
0.5,7,logistic_regression,0.9305,0.8925,0.038000000000000034,1399,601,0.9635453895639743,0.8535773710482529,0.10996801851572136,normalized_absolute_standardized_coefficient,0.10685788604591705,,Within-model normalized coefficient; not cross-family comparable.
0.5,7,rbf_svm,0.9295,0.895,0.034499999999999975,1399,601,0.9678341672623302,0.8402662229617305,0.1275679443005997,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,7,random_forest,0.9195,0.8885,0.031000000000000028,1399,601,0.9592566118656183,0.826955074875208,0.13230153699041025,impurity_importance_fraction,0.18208106348918515,13977.0,Native impurity importance and split count; audit only.
0.5,7,gradient_boosting,0.9205,0.885,0.035499999999999976,1399,601,0.956397426733381,0.8369384359400999,0.11945899079328115,private_histgb_gain_fraction,0.13421248237970734,1016.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,7,mlp,0.931,0.8925,0.03850000000000009,1399,601,0.9692637598284489,0.8419301164725458,0.12733364335590314,normalized_first_layer_absolute_weight,0.20272062294128407,,First-layer weight audit; not a causal or cross-family importance.
0.5,8,logistic_regression,0.9205,0.8905,0.030000000000000027,1390,610,0.9589928057553957,0.8327868852459016,0.12620592050949409,normalized_absolute_standardized_coefficient,0.10641793370348702,,Within-model normalized coefficient; not cross-family comparable.
0.5,8,rbf_svm,0.914,0.89,0.02400000000000002,1390,610,0.9589928057553957,0.8114754098360656,0.1475173959193301,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,8,random_forest,0.905,0.889,0.016000000000000014,1390,610,0.9496402877697842,0.8032786885245902,0.14636159924519399,impurity_importance_fraction,0.17819847832567443,14466.0,Native impurity importance and split count; audit only.
0.5,8,gradient_boosting,0.901,0.881,0.020000000000000018,1390,610,0.939568345323741,0.8131147540983606,0.12645359122538036,private_histgb_gain_fraction,0.12295546101547654,1009.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,8,mlp,0.92,0.888,0.03200000000000003,1390,610,0.9575539568345324,0.8344262295081967,0.1231277273263357,normalized_first_layer_absolute_weight,0.19876879129715416,,First-layer weight audit; not a causal or cross-family importance.
0.5,9,logistic_regression,0.933,0.903,0.030000000000000027,1410,590,0.9709219858156029,0.8423728813559322,0.1285491044596706,normalized_absolute_standardized_coefficient,0.12270533007241417,,Within-model normalized coefficient; not cross-family comparable.
0.5,9,rbf_svm,0.9325,0.8845,0.04800000000000004,1410,590,0.9709219858156029,0.8406779661016949,0.13024401971390798,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,9,random_forest,0.924,0.881,0.04300000000000004,1410,590,0.9666666666666667,0.8220338983050848,0.1446327683615819,impurity_importance_fraction,0.21336525252493424,14114.0,Native impurity importance and split count; audit only.
0.5,9,gradient_boosting,0.921,0.8845,0.03650000000000009,1410,590,0.9631205673758865,0.8203389830508474,0.14278158432503907,private_histgb_gain_fraction,0.19730989154451448,1087.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,9,mlp,0.934,0.889,0.04500000000000004,1410,590,0.9723404255319149,0.8423728813559322,0.12996754417598266,normalized_first_layer_absolute_weight,0.1976656077432604,,First-layer weight audit; not a causal or cross-family importance.
0.7,0,logistic_regression,0.952,0.8655,0.08649999999999991,1680,320,0.9797619047619047,0.80625,0.1735119047619047,normalized_absolute_standardized_coefficient,0.20316379613251406,,Within-model normalized coefficient; not cross-family comparable.
0.7,0,rbf_svm,0.952,0.862,0.08999999999999997,1680,320,0.9803571428571428,0.803125,0.17723214285714284,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.7,0,random_forest,0.9495,0.8505,0.09899999999999998,1680,320,0.981547619047619,0.78125,0.200297619047619,impurity_importance_fraction,0.4357272195897928,11820.0,Native impurity importance and split count; audit only.
0.7,0,gradient_boosting,0.9465,0.858,0.08850000000000002,1680,320,0.975,0.796875,0.17812499999999998,private_histgb_gain_fraction,0.47464974020572176,1063.0,Audit based on sklearn private tree nodes; version-sensitive.
0.7,0,mlp,0.9535,0.8725,0.08099999999999996,1680,320,0.9797619047619047,0.815625,0.16413690476190468,normalized_first_layer_absolute_weight,0.20284374148334994,,First-layer weight audit; not a causal or cross-family importance.
0.7,1,logistic_regression,0.9545,0.878,0.07650000000000001,1676,324,0.9791169451073986,0.8271604938271605,0.15195645128023805,normalized_absolute_standardized_coefficient,0.2026794446458222,,Within-model normalized coefficient; not cross-family comparable.
0.7,1,rbf_svm,0.953,0.876,0.07699999999999996,1676,324,0.9791169451073986,0.8179012345679012,0.16121571053949735,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
