rho_train,replicate,metric,model,score,rank,is_best
0.7,7,iid_test,mlp,0.9503333333333334,3.0,False
0.7,7,iid_test,random_forest,0.949,5.0,False
0.7,7,iid_test,rbf_svm,0.956,2.0,False
0.7,8,iid_test,gradient_boosting,0.949,4.0,False
0.7,8,iid_test,logistic_regression,0.96,1.0,True
0.7,8,iid_test,mlp,0.9586666666666667,2.0,False
0.7,8,iid_test,random_forest,0.9476666666666667,5.0,False
0.7,8,iid_test,rbf_svm,0.9563333333333334,3.0,False
0.7,9,iid_test,gradient_boosting,0.952,4.0,False
0.7,9,iid_test,logistic_regression,0.958,1.0,True
0.7,9,iid_test,mlp,0.9566666666666667,2.0,False
0.7,9,iid_test,random_forest,0.949,5.0,False
0.7,9,iid_test,rbf_svm,0.9553333333333334,3.0,False
0.7,0,average_ood,gradient_boosting,0.7546,4.0,False
0.7,0,average_ood,logistic_regression,0.7970666666666666,1.0,True
0.7,0,average_ood,mlp,0.7960666666666667,2.0,False
0.7,0,average_ood,random_forest,0.716,5.0,False
0.7,0,average_ood,rbf_svm,0.7784666666666666,3.0,False
0.7,1,average_ood,gradient_boosting,0.7584666666666666,3.0,False
0.7,1,average_ood,logistic_regression,0.7942666666666667,1.0,True
0.7,1,average_ood,mlp,0.7395333333333333,4.0,False
0.7,1,average_ood,random_forest,0.7187333333333334,5.0,False
0.7,1,average_ood,rbf_svm,0.7746666666666667,2.0,False
0.7,2,average_ood,gradient_boosting,0.7293333333333334,4.0,False
0.7,2,average_ood,logistic_regression,0.7748,1.0,True
0.7,2,average_ood,mlp,0.7710666666666667,2.0,False
0.7,2,average_ood,random_forest,0.7028000000000001,5.0,False
0.7,2,average_ood,rbf_svm,0.7547333333333333,3.0,False
0.7,3,average_ood,gradient_boosting,0.7505333333333333,4.0,False
0.7,3,average_ood,logistic_regression,0.7860000000000001,1.0,True
0.7,3,average_ood,mlp,0.7539333333333333,3.0,False
0.7,3,average_ood,random_forest,0.7213999999999999,5.0,False
0.7,3,average_ood,rbf_svm,0.7712666666666667,2.0,False
0.7,4,average_ood,gradient_boosting,0.7525999999999999,4.0,False
0.7,4,average_ood,logistic_regression,0.7884,1.0,True
0.7,4,average_ood,mlp,0.7533333333333332,3.0,False
0.7,4,average_ood,random_forest,0.7155333333333334,5.0,False
0.7,4,average_ood,rbf_svm,0.7727333333333333,2.0,False
0.7,5,average_ood,gradient_boosting,0.7586,3.0,False
0.7,5,average_ood,logistic_regression,0.7964,1.0,True
0.7,5,average_ood,mlp,0.7426666666666667,4.0,False
0.7,5,average_ood,random_forest,0.7112,5.0,False
0.7,5,average_ood,rbf_svm,0.7821333333333333,2.0,False
0.7,6,average_ood,gradient_boosting,0.7364,3.0,False
0.7,6,average_ood,logistic_regression,0.7888666666666667,1.0,True
0.7,6,average_ood,mlp,0.7209999999999999,4.0,False
0.7,6,average_ood,random_forest,0.7181333333333334,5.0,False
0.7,6,average_ood,rbf_svm,0.7694000000000001,2.0,False
0.7,7,average_ood,gradient_boosting,0.7697333333333334,3.0,False
0.7,7,average_ood,logistic_regression,0.7932,1.0,True
0.7,7,average_ood,mlp,0.7250666666666666,5.0,False
0.7,7,average_ood,random_forest,0.7367333333333334,4.0,False
0.7,7,average_ood,rbf_svm,0.7801333333333333,2.0,False
0.7,8,average_ood,gradient_boosting,0.7694666666666666,4.0,False
0.7,8,average_ood,logistic_regression,0.7993333333333335,2.0,False
0.7,8,average_ood,mlp,0.8033333333333333,1.0,True
0.7,8,average_ood,random_forest,0.7414000000000001,5.0,False
0.7,8,average_ood,rbf_svm,0.7806,3.0,False
0.7,9,average_ood,gradient_boosting,0.7544666666666667,4.0,False
0.7,9,average_ood,logistic_regression,0.7804,2.0,False
0.7,9,average_ood,mlp,0.7810666666666667,1.0,True
0.7,9,average_ood,random_forest,0.7209333333333333,5.0,False
0.7,9,average_ood,rbf_svm,0.7614,3.0,False
0.9,0,iid_test,gradient_boosting,0.99,4.0,False
0.9,0,iid_test,logistic_regression,0.9926666666666667,1.5,True
0.9,0,iid_test,mlp,0.9923333333333333,3.0,False
0.9,0,iid_test,random_forest,0.989,5.0,False
0.9,0,iid_test,rbf_svm,0.9926666666666667,1.5,True
0.9,1,iid_test,gradient_boosting,0.9873333333333333,4.0,False
0.9,1,iid_test,logistic_regression,0.992,2.0,False
0.9,1,iid_test,mlp,0.9923333333333333,1.0,True
0.9,1,iid_test,random_forest,0.9866666666666667,5.0,False
0.9,1,iid_test,rbf_svm,0.991,3.0,False
0.9,2,iid_test,gradient_boosting,0.9886666666666667,5.0,False
0.9,2,iid_test,logistic_regression,0.995,2.0,False
0.9,2,iid_test,mlp,0.9953333333333333,1.0,True
0.9,2,iid_test,random_forest,0.9903333333333333,4.0,False
0.9,2,iid_test,rbf_svm,0.9926666666666667,3.0,False
0.9,3,iid_test,gradient_boosting,0.989,4.0,False
0.9,3,iid_test,logistic_regression,0.9923333333333333,2.0,False
0.9,3,iid_test,mlp,0.9906666666666667,3.0,False
0.9,3,iid_test,random_forest,0.9866666666666667,5.0,False
0.9,3,iid_test,rbf_svm,0.9926666666666667,1.0,True
0.9,4,iid_test,gradient_boosting,0.9916666666666667,4.0,False
0.9,4,iid_test,logistic_regression,0.9946666666666667,2.0,False
0.9,4,iid_test,mlp,0.9963333333333333,1.0,True
0.9,4,iid_test,random_forest,0.9893333333333333,5.0,False
0.9,4,iid_test,rbf_svm,0.9943333333333333,3.0,False
0.9,5,iid_test,gradient_boosting,0.992,4.0,False
0.9,5,iid_test,logistic_regression,0.9926666666666667,1.5,True
0.9,5,iid_test,mlp,0.9926666666666667,1.5,True
0.9,5,iid_test,random_forest,0.9876666666666667,5.0,False
