rho_train,replicate,model,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess
0.5,3,rbf_svm,0.0525,0.05710495438221997,0.16033099056400002,0.008,0.012319455735007073,0.00038766512038701517,0.0445,0.0447854986472129
0.5,3,random_forest,0.0665,0.06999459920634919,0.16033099056400002,0.0055,0.012958048412698413,0.00038766512038701517,0.061000000000000006,0.057036550793650775
0.5,3,gradient_boosting,0.054,0.05790763282067232,0.16033099056400002,0.014,0.017731243110003025,0.00038766512038701517,0.04,0.040176389710669294
0.5,3,mlp,0.0575,0.05497134468355264,0.16033099056400002,0.01,0.008444181506697603,0.00038766512038701517,0.0475,0.04652716317685504
0.5,4,logistic_regression,0.049,0.05141422801897168,0.16083641605928356,0.0055,0.006490509045706066,0.0007554864096686043,0.043500000000000004,0.04492371897326561
0.5,4,rbf_svm,0.0615,0.05798910227967218,0.16083641605928356,0.0115,0.014608298802597957,0.0007554864096686043,0.05,0.04338080347707422
0.5,4,random_forest,0.0635,0.06679355656565655,0.16083641605928356,0.006,0.012854149855699853,0.0007554864096686043,0.0575,0.0539394067099567
0.5,4,gradient_boosting,0.062,0.055884473258975935,0.16083641605928356,0.0175,0.018959608785392944,0.0007554864096686043,0.0445,0.036924864473582994
0.5,4,mlp,0.064,0.06630176667392862,0.16083641605928356,0.0145,0.01423634618938539,0.0007554864096686043,0.0495,0.052065420484543226
0.5,5,logistic_regression,0.052,0.04861211590260071,0.14567920547064328,0.0025,0.002095038898325681,2.89178048383798e-05,0.049499999999999995,0.04651707700427503
0.5,5,rbf_svm,0.056,0.053472870815344464,0.14567920547064328,0.012,0.013282304930909407,2.89178048383798e-05,0.044,0.04019056588443506
0.5,5,random_forest,0.0655,0.06510442142857141,0.14567920547064328,0.0085,0.013294673015873016,2.89178048383798e-05,0.057,0.05180974841269839
0.5,5,gradient_boosting,0.0555,0.055261045157171014,0.14567920547064328,0.018,0.02319371768538733,2.89178048383798e-05,0.037500000000000006,0.03206732747178369
0.5,5,mlp,0.051,0.048188436415511925,0.14567920547064328,0.0055,0.007966886728379842,2.89178048383798e-05,0.0455,0.04022154968713208
0.5,6,logistic_regression,0.059,0.05408637698051611,0.15114290677337505,0.0035,0.0032509853216120704,0.000531007332207234,0.055499999999999994,0.05083539165890404
0.5,6,rbf_svm,0.0605,0.057932182101740975,0.15114290677337505,0.009,0.012436133504712774,0.000531007332207234,0.0515,0.0454960485970282
0.5,6,random_forest,0.059,0.06740339444444444,0.15114290677337505,0.0055,0.012171093650793652,0.000531007332207234,0.0535,0.055232300793650796
0.5,6,gradient_boosting,0.0625,0.06184106998724092,0.15114290677337505,0.0165,0.015101546324141119,0.000531007332207234,0.046,0.0467395236630998
0.5,6,mlp,0.057,0.05204092376514165,0.15114290677337505,0.0065,0.007885796004549911,0.000531007332207234,0.0505,0.04415512776059174
0.5,7,logistic_regression,0.052,0.05140860703136706,0.13008913245381648,0.003,0.005002479847256296,0.0005640883361243132,0.048999999999999995,0.04640612718411076
0.5,7,rbf_svm,0.058,0.05687785734730198,0.13008913245381648,0.0045,0.010882116321270367,0.0005640883361243132,0.053500000000000006,0.045995741026031614
0.5,7,random_forest,0.063,0.0665891383116883,0.13008913245381648,0.0105,0.012088161904761904,0.0005640883361243132,0.0525,0.0545009764069264
0.5,7,gradient_boosting,0.0615,0.058634147462083175,0.13008913245381648,0.021,0.016963621618900755,0.0005640883361243132,0.040499999999999994,0.04167052584318242
0.5,7,mlp,0.0585,0.059167440124270235,0.13008913245381648,0.0095,0.008708356810034153,0.0005640883361243132,0.049,0.05045908331423608
