rho_train,replicate,model,feature_condition,environment_type,rho_environment,rho_ood,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss
0.0,2,random_forest,stable_only,ood,-0.3,-0.3,0.9046666666666666,0.9046033386030647,0.9705475956331768,0.06824435685599195,0.22551395144999264
0.0,2,random_forest,stable_only,ood,-0.6,-0.6,0.8953333333333333,0.8954880828987897,0.9677010339671066,0.07275960156438069,0.2357177495686079
0.0,2,random_forest,stable_only,ood,-0.9,-0.9,0.903,0.9030595549738221,0.9703654517840884,0.06879746155649402,0.22633371639642041
0.0,2,gradient_boosting,all_features,iid_validation,0.0,,0.9035,0.9035826353816253,0.9642696739357675,0.0766401858171273,0.26188448694711475
0.0,2,gradient_boosting,all_features,iid_test,0.0,,0.9133333333333333,0.9133269570257014,0.9744226211957709,0.06433616323534926,0.21460174923892134
0.0,2,gradient_boosting,all_features,ood,0.3,0.3,0.912,0.9117665914566931,0.9727721493965691,0.06599774940301105,0.21936310104268375
0.0,2,gradient_boosting,all_features,ood,-0.3,-0.3,0.903,0.9029881866729738,0.9698829515000951,0.07062126568433044,0.23247215552226097
0.0,2,gradient_boosting,all_features,ood,-0.6,-0.6,0.8966666666666666,0.8968073881091783,0.9672094627132866,0.0755698249448946,0.24582111849392027
0.0,2,gradient_boosting,all_features,ood,-0.9,-0.9,0.902,0.9020280844525381,0.9699682022535853,0.07212115990536655,0.23395280864173432
0.0,2,gradient_boosting,stable_only,iid_validation,0.0,,0.8965,0.8964785823102877,0.9623931316150368,0.07751013486919789,0.2720091062265367
0.0,2,gradient_boosting,stable_only,iid_test,0.0,,0.9146666666666666,0.9146620705103476,0.9751777336493043,0.062418651588042585,0.21061219859389635
0.0,2,gradient_boosting,stable_only,ood,0.3,0.3,0.9066666666666666,0.9063137199731452,0.9715988114805917,0.06786504033747244,0.2250580225191067
0.0,2,gradient_boosting,stable_only,ood,-0.3,-0.3,0.907,0.9069315936699205,0.9701957121339567,0.06905572672032545,0.22978334715752494
0.0,2,gradient_boosting,stable_only,ood,-0.6,-0.6,0.8983333333333333,0.898394156104888,0.9671765578984672,0.07584988962552161,0.24417910317109362
0.0,2,gradient_boosting,stable_only,ood,-0.9,-0.9,0.9036666666666666,0.9037513515820623,0.968866485033007,0.0722077700261291,0.2392281511212913
